Code UAI;Nom;Adresse;Code postal;Ville;Catégorie;Téléphone;Email du chef d’établissement
0783251k;Anatole France;Rue Jean Jaurès;78340;Les Clayes-sous-Bois;;01 30 55 31 11;ce.0783251k@ac-versailles.fr
0780760c;La Fosse aux Dames;Rue Pablo Neruda;78340;Les Clayes-sous-Bois;;01 30 55 75 00;ce.0780760c@ac-versailles.fr
0781914g;Jean Vilar;45 rue Paul Eluard BP 3070;78130;Les Mureaux;REP;01 30 22 49 30;ce.0781914g@ac-versailles.fr
0780180x;Jules Verne;Rue Thomas;78130;Les Mureaux;REP+;01 34 74 19 45;ce.0780180x@ac-versailles.fr
0780572y;Paul Verlaine;Route de Verneuil;78130;Les Mureaux;REP;01 34 92 87 97;ce.0780572y@ac-versailles.fr
0780255d;Albert Thierry;Rue Albert Thierry;78520;Limay;REP;01 34 77 57 82;ce.0780255d@ac-versailles.fr
0782115a;Galilée;8 avenue Edouart Fosse;78520;Limay;;01 34 78 60 55;ce.0782115a@ac-versailles.fr
0781098v;George Sand;Place Mendes France;78200;Magnanville;;01 30 92 01 55;ce.0781098v@ac-versailles.fr
0781955b;Gassicourt;Rue Braunstein;78200;Mantes-la-Jolie;REP+;01 30 94 02 55;ce.0781955b@ac-versailles.fr
0781977a;Georges Clémenceau;35 boulevard Clémenceau;78200;Mantes-la-Jolie;REP+;01 30 63 93 93;ce.0781977a@ac-versailles.fr
0780708w;Jules Ferry;5 rue des Ecoles;78200;Mantes-la-Jolie;;01 30 33 57 73;ce.0780708w@ac-versailles.fr
0781896m;Louis Pasteur;41-45 rue St Nicolas;78200;Mantes-la-Jolie;REP+;01 30 63 05 00;ce.0781896m@ac-versailles.fr
0783774d;Nouveau;Rue Marcel Doret;78200;Mantes-la-Jolie;REP+;01 30 63 61 63;ce.0783774d@ac-versailles.fr
0780116c;Les Plaisances;5 rue Jean Moulin;78711;Mantes-la-Ville;REP;01 34 77 25 40;ce.0780116c@ac-versailles.fr
0780569v;Vaucouleurs;19 rue de la Lyre;78711;Mantes-la-Ville;;01 30 92 42 44;ce.0780569v@ac-versailles.fr
0780720j;Alexandre Dumas;Avenue de la Villedieu;78310;Maurepas;;01 30 13 75 20;ce.0780720j@ac-versailles.fr
0780419g;Louis Pergaud;15 avenue de Limagne;78310;Maurepas;;01 30 50 27 01;ce.0780419g@ac-versailles.fr
0780571x;Henri IV;Route de Pontoise;78250;Meulan-en-Yvelines;;01 30 99 90 50;ce.0780571x@ac-versailles.fr
0780262l;Maurice Ravel;Place de Nickenich;78490;Montfort-l'Amaury;;01 34 57 05 50;ce.0780262l@ac-versailles.fr
0780179w;Jean-Baptiste de la Quintinye;1 place de la Quintinye;78590;Noisy-le-Roi;;01 30 80 16 00;ce.0780179w@ac-versailles.fr
0780420h;Blaise Pascal;Avenue Charles de Gaulle  ;78373;Plaisir;REP;01 30 79 16 80;ce.0780420h@ac-versailles.fr
0783358b;Jean Jaurès;28 rue de la Libération;78300;Poissy;;01 30 65 16 10;ce.0783358b@ac-versailles.fr
0780264n;Les Grands Champs;137 avenue de Castille;78300;Poissy;REP+;01 39 65 27 70;ce.0780264n@ac-versailles.fr
0780256e;Le Racinay;87 route d'Arbouville;78120;Rambouillet;;01 34 85 58 85;ce.0780256e@ac-versailles.fr
0781886b;Catherine de Vivonne;Rue de Clairefontaine;78513;Rambouillet;;01 34 85 31 10;ce.0781886b@ac-versailles.fr
0780846w;Le Rondeau;5 avenue du Général Leclerc BP 25;78511;Rambouillet;;01 34 83 94 19;ce.0780846w@ac-versailles.fr
0781916j;Sully;8 chemin des Closeaux;78710;Rosny-sur-Seine;;01 30 42 14 14;ce.0781916j@ac-versailles.fr
0780258g;Colette;105 avenue de Tobrouk;78500;Sartrouville;;01 61 04 46 70;ce.0780258g@ac-versailles.fr
0780579f;Darius Milhaud;3 rue P. Deroulede;78500;Sartrouville;;01 39 13 41 75;ce.0780579f@ac-versailles.fr
0783463r;Louis Paulhan;15 rue Guy de Maupassant;78500;Sartrouville;REP;01 61 04 47 90;ce.0783463r@ac-versailles.fr
0780577d;Romain Rolland;4 rue de Marseille;78500;Sartrouville;REP;01 30 86 19 40;ce.0780577d@ac-versailles.fr
0780186d;Jean Racine;5 rue Jean Moulin;78210;St-Cyr-l'Ecole;;01 30 07 14 14;ce.0780186d@ac-versailles.fr
0780714c;Les Hauts Grillets;Boulevard Hector Berlioz;78100;St-Germain-en-Laye;;01 30 87 46 20;ce.0780714c@ac-versailles.fr
0781204k;Marcel Roby;3 rue de la Rochejacqueline;78100;St-Germain-en-Laye;;01 39 10 25 90;ce.0781204k@ac-versailles.fr
0781205l;Claude Debussy;31 rue Alexandre Dumas;78101;St-Germain-en-Laye;;01 39 21 00 39;ce.0781205l@ac-versailles.fr
0781618k;Gustave Courbet;2 allée V. Jara;78190;Trappes;REP;01 30 51 73 60;ce.0781618k@ac-versailles.fr
0780187e;Youri Gagarine;28 avenue du Pasteur ML King;78190;Trappes;REP+;01 30 50 14 98;ce.0780187e@ac-versailles.fr
0780514k;Le Village;90 rue de Montfort;78194;Trappes;REP;01 30 16 07 70;ce.0780514k@ac-versailles.fr
0780265p;Maryse Bastié;10 avenue du Capitaine Tarron;78140;Vélizy-Villacoublay;;01 39 46 18 90;ce.0780265p@ac-versailles.fr
0780267s;Jean Zay;1 rue Jean Zay;78480;Verneuil-sur-Seine;;01 39 71 88 50;ce.0780267s@ac-versailles.fr
0780845v;Emile Zola;61 route de Chapet;78480;Vernouillet;;01 39 65 73 84;ce.0780845v@ac-versailles.fr
0781298m;De Clagny;9 rue Victor Bart;78000;Versailles;;01 39 50 35 30;ce.0781298m@ac-versailles.fr
0781107e;Jean-Philippe Rameau;1 rond-point des Condamines;78000;Versailles;;01 39 50 76 64;ce.0781107e@ac-versailles.fr
0780580g;Pierre de Nolhac;10 rue de Limoges;78000;Versailles;;01 39 51 09 28;ce.0780580g@ac-versailles.fr
0780718g;Raymond Poincaré;2 place Raymond Poincaré;78000;Versailles;;01 39 07 23 23;ce.0780718g@ac-versailles.fr
0780714c;Les Hauts Grillets;Boulevard Hector Berlioz;78100;St-Germain-en-Laye;;01 30 87 46 20;ce.0780714c@ac-versailles.fr
0781204k;Marcel Roby;3 rue de la Rochejacqueline;78100;St-Germain-en-Laye;;01 39 10 25 90;ce.0781204k@ac-versailles.fr
0781205l;Claude Debussy;31 rue Alexandre Dumas BP 47;78101;St-Germain-en-Laye;;01 39 21 00 39;ce.0781205l@ac-versailles.fr
