ACADEMIE;N°Département;DEPARTEMENT;COMMUNE;UAI tête de réseau;NUMERO;NOM DE L'ETABLISSEMENT;TYPE_DETABLISSEMENT;EP;circonscription ;contact collège ou circonscription 
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0130881M;KLEBER;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0130923H;PEYSSONNEL;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131264D;0133039H;VILLETTE FONSCOLOMBE;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131884C;0131884C;BELLE DE MAI;COLLEGE;REP+;;ce.0131884C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131884C;0130527C;BERNARD CADENAT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131884C;0131640M;REVOLUTION;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131884C;0130559M;EDOUARD VAILLANT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 04;0131884C;0134240N;REVOLUTION VAILLANT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131884C;0130844X;BELLE DE MAI;ECOLE MATERNELLE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131884C;0130845Y;REVOLUTION;ECOLE MATERNELLE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131884C;0130868Y;EDOUARD VAILLANT;ECOLE MATERNELLE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131884C;0133920R;JOBIN-CADENAT;ECOLE MATERNELLE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131935H;0131935H;EDGAR QUINET;COLLEGE;REP+;;ce.0131935H@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 01;0131935H;0130555H;CONVALESCENTS;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131935H;0130595B;NATIONAL;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131935H;0130630P;SAINT-CHARLES 1;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131935H;0130788L;SAINT-CHARLES 2;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 01;0131935H;0133655C;MAURICE KORSEC;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131935H;0133970V;BUSSERADE-MASSENA;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131935H;0134095F;BUGEAUD;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 01;0131935H;0130880L;HOTEL DES POSTES;ECOLE MATERNELLE;REP+;IEN MARSEILLE JOLIETTE;ce.0131308B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 01;0131935H;0130890X;PARMENTIER;ECOLE MATERNELLE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131935H;0130914Y;POMMIER;ECOLE MATERNELLE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131935H;0130929P;SAINT-CHARLES;ECOLE MATERNELLE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 03;0131935H;0130951N;STRASBOURG;ECOLE MATERNELLE;REP+;IEN MARSEILLE SAINT CHARLES;ce.0133619N@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131260Z;0131260Z;EDMOND ROSTAND;COLLEGE;REP+;;ce.0131260Z@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131260Z;0130640A;SAINT-JUST COROT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131260Z;0131208T;BOUGE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131260Z;0131563D;SAINT-JUST COROT;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131260Z;0131644S;BOUGE;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131261A;0131261A;AUGUSTE RENOIR;COLLEGE;REP+;;ce.0131261A@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131261A;0131652A;SAINT-JEROME LES LILAS;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131261A;0131856X;MALPASSE LES OLIVIERS;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131261A;0132274B;MALPASSE LES LAURIERS;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131261A;0131647V;SAINT-JEROME LES LILAS;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131261A;0132287R;MALPASSE LES OLIVIERS;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131261A;0132757B;MALPASSE LES LAURIERS;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131262B;0131262B;JACQUES PREVERT;COLLEGE;REP+;;ce.0131262B@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 12;0131262B;0130585R;MAURELLE BOMBARDIERE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131262B;0130773V;ROSE FRAIS VALLON NORD;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131262B;0132183C;ROSE FRAIS VALLON SUD;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131262B;0130745P;MAURELLE;ECOLE MATERNELLE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131262B;0131247K;ROSE FRAIS VALLON NORD;ECOLE MATERNELLE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131262B;0131248L;ROSE FRAIS VALLON SUD;ECOLE MATERNELLE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131262B;0132200W;ROSE FRAIS VALLON CENTRE;ECOLE MATERNELLE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0131262B;0132527B;MAURELLE JONQUILLES;ECOLE MATERNELLE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0132313U;0132313U;STEPHANE MALLARME;COLLEGE;REP+;;ce.0132313U@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0132313U;0130616Z;ROSE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0132313U;0131227N;ROSE VAL PLAN;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0132313U;0132267U;ROSE LA GARDE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0132313U;0131267G;ROSE LA GARDE;ECOLE MATERNELLE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0132313U;0131648W;ROSE VAL PLAN;ECOLE MATERNELLE;REP+;IEN MARSEILLE LA ROSE;ce.0131309C@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131604Y;0131604Y;HENRI WALLON;COLLEGE;REP+;;ce.0131604Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131604Y;0130553F;CLAIR SOLEIL;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131604Y;0131543G;FONT VERT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131604Y;0130864U;CLAIR SOLEIL;ECOLE MATERNELLE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131604Y;0131542F;FONT VERT;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131703F;0131703F;EDOUARD MANET;COLLEGE;REP+;;ce.0131703F@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131703F;0130590W;MERLAN CERISAIE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131703F;0131641N;EMILE VAYSSIERE 1;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131703F;0132429V;SAINT-BARTHELEMY FLAMANTS;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131703F;0131280W;MERLAN CERISAIE;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131703F;0132434A;SAINT-BARTHELEMY FLAMANTS;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0131703F;0132476W;EMILE VAYSSIERE;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE MERLAN;ce.0131297P@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132207D;0132207D;MASSENET;COLLEGE;REP+;;ce.0132207D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 15;0132207D;0130636W;SAINT-JOSEPH SERVIERES;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132207D;0130654R;SAINTE-MARTHE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 15;0132207D;0131224K;MAURELETTE;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 15;0132207D;0131285B;CASTELLAS LES LIONS;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132207D;0132192M;SAINT-JOSEPH LES MICOCOULIERS;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132207D;0130932T;SIMIANE;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 15;0132207D;0130933U;SAINT-JOSEPH SERVIERES;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 15;0132207D;0131245H;CASTELLAS LES LIONS;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132207D;0131270K;SAINTE-MARTHE;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 15;0132207D;0131281X;MAURELETTE;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132207D;0132189J;SAINT-JOSEPH LES MICOCOULIERS;ECOLE MATERNELLE;REP+;IEN MARSEILLE LE CANET;ce.0131305Y@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132404T;0132404T;CLAIR SOLEIL;COLLEGE;REP+;;ce.0132404T@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132404T;0132179Y;CANET JEAN JAURES;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132404T;0132290U;CANET JEAN JAURES;ECOLE MATERNELLE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 14;0132491M;0132491M;ALEXANDRE DUMAS;COLLEGE;REP+;;ce.0132491M@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 04;0132491M;0130557K;GILLES VIGNEAULT;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0132491M;0130638Y;SAINT-JUST 1;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 13;0132491M;0130796V;SAINT-JUST 2;ECOLE ELEMENTAIRE OU PRIMAIRE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 04;0132491M;0130840T;CHUTES LAVIE HLM MEDITERRANEE;ECOLE MATERNELLE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
AIX-MARSEILLE;13;BOUCHES-DU-RHONE;MARSEILLE 04;0132491M;0130862S;CHUTES LAVIE;ECOLE MATERNELLE;REP+;IEN MARSEILLE BELLE DE MAI;ce.0131310D@ac-aix-marseille.fr
